rental_id,customer_name,rent_out_timestamp,return_timestamp,rental_duration_hours,actual_duration_hours,vehicle_make_model
R00034,Alex Williams,2025-04-26T07:58:00,2025-04-27T17:32:31.168766,59.9,32.6,Audi A4
R00035,Jordan Brown,2025-05-15T14:54:00,2025-05-17T00:58:54.826937,60.4,33.1,Honda Civic
R00036,JORDAN DAVIS,2025-01-21T15:34:00,2025-01-21T19:41:26.570172,5.6,3.6,Nissan Altima
R00037,Taylor Jones,2025-04-10T17:53:00,2025-04-11T08:19:08.572722,22.5,13.7,Toyota Corolla
R00038,chris miller,2025-04-25T22:08:00,2025-04-28T11:34:53.479740,58.9,61.2,Audi A4
R00039,Chris Williams,2025-05-07T01:56:00,2025-05-24T23:04:19.022354,17.0,428.5,Chevrolet Malibu
R00040,PAT MILLER,2025-01-31T05:13:00,2025-02-02T00:59:30.666337,37.7,42.8,Audi A4
R00041,Jane Johnson,2025-04-05T06:08:00,,12.6,,Ford Focus
R00042,TAYLOR DAVIS,2025-04-01T04:10:00,2025-04-04T04:35:56.946629,48.3,72.2,Audi A4
R00043,Jane Jones,2025-06-21T22:22:00,2025-06-23T09:40:40.768443,66.2,35.0,BMW 3 Series
R00044,TAYLOR DAVIS,2025-06-13T02:33:00,2025-06-18T10:04:37.795769,38.4,127.5,Nissan Altima
R00045,pat miller,2025-03-06T04:57:00,2025-03-06T07:04:42.730150,4.2,2.1,Nissan Altima
R00046,Sam Brown,2025-03-11T11:09:00,2025-03-13T02:22:24.078417,37.5,38.3,Chevrolet Malibu
R00047,SAM JONES,2025-01-19T10:51:00,2025-01-20T00:17:28.956045,21.4,13.0,Audi A4
R00048,Alex Jones,2025-04-11T16:10:00,2025-04-12T00:47:21.229089,14.7,8.1,Nissan Altima
R00049,Taylor Jones,2025-02-17T23:53:00,2025-02-18T02:53:00.897648,4.0,2.4,Ford Focus
R00050,taylor johnson,2025-04-02T01:46:00,2025-04-03T02:27:57.543482,21.6,24.3,Toyota Corolla
R00051,John Jones,2025-06-17T19:37:00,2025-06-20T03:26:40.165788,40.5,55.4,Toyota Corolla
R00052,Jordan Davis,2025-06-13T14:14:00,2025-06-14T00:52:49.960842,9.8,10.6,Audi A4
R00053,alex jones,2025-02-21T18:32:00,2025-02-23T02:27:39.886759,25.8,31.2,Nissan Altima
R00054,Pat Jones,2025-04-20T19:10:00,2025-04-22T12:57:39.277047,69.1,41.7,Ford Focus
R00055,Chris Brown,2025-02-25T19:59:00,2025-02-26T12:19:17.251289,13.8,15.5,Tesla Model 3
R00056,JOHN MILLER,2025-05-26T10:51:00,2025-05-29T08:03:03.566978,63.4,69.0,Nissan Altima
R00057,Taylor Jones,2025-01-04T14:55:00,2025-01-05T10:39:01.290497,26.3,19.5,Nissan Altima
R00058,John Brown,2025-06-15T18:29:00,2025-06-18T03:37:08.602593,65.9,56.3,Chevrolet Malibu
R00059,Sam Davis,2025-06-18T21:42:00,2025-06-20T09:39:41.337109,34.0,35.5,Tesla Model 3
R00060,Taylor Jones,2025-02-16T14:27:00,2025-02-17T14:48:32.132639,47.8,23.9,Chevrolet Malibu
R00061,Pat Miller,2025-03-26T22:11:00,2025-03-27T18:29:48.874598,26.9,19.3,Tesla Model 3
R00062,Jordan Davis,2025-01-05T14:32:00,2025-01-07T04:25:31.654116,40.4,37.7,Audi A4
R00063,Jane Davis,2025-04-03T10:10:00,2025-04-04T03:36:36.732212,25.7,17.4,Chevrolet Malibu
R00064,Sam Williams,2025-02-25T17:44:00,2025-02-28T01:41:35.382710,65.1,55.0,Ford Focus
R00065,jane davis,2025-03-17T20:41:00,2025-03-18T23:34:04.939307,21.6,26.0,Audi A4
R00066,Alex Williams,2025-01-18T12:52:00,2025-01-21T01:53:57.278986,70.8,61.0,Nissan Altima
R00067,Jordan Smith,2025-01-05T09:34:00,2025-01-09T07:28:35.709035,64.6,93.1,Nissan Altima
R00068,Chris Williams,2025-03-23T04:40:00,2025-03-27T06:28:43.652581,20.7,97.1,Honda Civic
R00069,Chris Brown,2025-05-14T06:31:00,2025-05-18T10:04:07.684257,69.0,99.6,Toyota Corolla
R00070,JOHN BROWN,2025-05-11T07:18:00,2025-05-13T10:38:55.914185,67.2,50.5,Toyota Corolla
R00071,Chris Miller,2025-03-06T09:22:00,2025-03-08T11:28:27.334982,45.7,49.6,Honda Civic
R00072,Sam Williams,2025-02-20T17:59:00,2025-02-23T08:58:37.829666,70.2,62.7,Honda Civic
R00073,Jordan Williams,2025-04-15T14:36:00,2025-04-17T23:58:22.879948,42.9,57.3,Honda Civic
R00074,Jordan Jones,2025-05-06T18:29:00,2025-05-09T06:27:10.434003,62.9,59.5,Chevrolet Malibu
R00075,jane johnson,2025-01-12T19:33:00,2025-01-14T21:06:05.803048,61.6,49.1,Tesla Model 3
R00076,SAM JOHNSON,2025-01-10T02:50:00,2025-01-13T18:32:10.867621,64.0,87.4,Toyota Corolla
R00077,John Johnson,2025-03-28T22:03:00,2025-04-13T09:42:02.126735,37.3,370.9,Nissan Altima
R00078,taylor smith,2025-02-12T20:59:00,2025-02-14T01:55:25.424608,21.9,28.3,Honda Civic
R00079,Jordan Brown,2025-05-30T09:48:00,2025-05-30T11:22:38.132017,1.6,1.0,Tesla Model 3
R00080,Sam Williams,2025-01-20T14:17:00,2025-01-23T16:43:13.894748,63.8,73.5,Audi A4
R00081,Jordan Miller,2025-02-12T21:21:00,2025-02-28T02:58:46.598167,65.6,365.3,BMW 3 Series
R00082,Jordan Brown,2025-02-04T08:24:00,2025-02-05T12:38:10.481754,27.0,27.3,BMW 3 Series
R00083,Jordan Williams,2025-06-27T04:52:00,2025-06-27T20:38:40.005602,21.4,14.9,Chevrolet Malibu
R00084,Pat Williams,2025-03-24T04:21:00,2025-03-24T06:23:17.124209,3.0,1.9,Chevrolet Malibu
R00085,Taylor Davis,2025-02-10T10:43:00,2025-02-10T17:16:58.831795,11.0,6.2,Toyota Corolla
R00086,Pat Jones,2025-06-01T04:04:00,2025-06-02T05:55:42.605114,47.9,25.8,Honda Civic
R00087,Pat Miller,2025-05-09T17:13:00,2025-05-12T08:44:49.393845,43.9,62.9,Tesla Model 3
R00088,Sam Smith,2025-06-11T03:53:00,2025-06-20T14:33:11.615181,51.3,226.4,Chevrolet Malibu
R00089,Pat Davis,2025-02-23T12:43:00,2025-02-23T20:18:52.881041,5.4,6.7,Honda Civic
R00090,jane jones,2025-04-11T04:15:00,2025-04-17T08:19:03.303597,35.4,147.1,Audi A4
R00091,JOHN JONES,2025-05-19T18:33:00,2025-05-21T15:47:18.938935,41.4,44.6,Honda Civic
R00092,Jordan Jones,2025-06-11T20:34:00,2025-06-13T19:46:17.620741,58.8,46.9,Ford Focus
R00093,Jordan Miller,2025-04-02T21:08:00,2025-04-06T05:39:20.008280,69.5,80.5,Honda Civic
R00094,JANE SMITH,2025-04-13T20:35:00,2025-04-15T04:02:38.952423,25.8,30.5,Chevrolet Malibu
R00095,PAT SMITH,2025-02-22T20:48:00,2025-02-23T21:40:39.107146,18.3,24.4,BMW 3 Series
R00096,taylor smith,2025-01-27T08:26:00,2025-02-01T21:44:46.518907,55.1,132.4,Toyota Corolla
R00097,Sam Smith,2025-06-26T23:26:00,2025-06-28T00:49:00.849348,25.3,25.0,Audi A4
R00098,Jane Smith,2025-03-08T04:16:00,2025-03-09T13:17:09.090003,40.8,32.2,Honda Civic
R00099,Alex Jones,2025-01-16T06:59:00,2025-01-17T23:31:01.822265,50.4,40.3,Audi A4
R00100,PAT JONES,2025-01-11T08:55:00,2025-01-12T02:06:46.739550,16.6,16.6,Tesla Model 3
R00101,John Williams,2025-01-07T09:17:00,2025-01-08T23:25:16.152218,35.4,37.9,Honda Civic
R00102,Jane Smith,2025-01-30T04:49:00,2025-01-31T14:06:56.707919,27.5,33.3,Nissan Altima
R00103,Chris Smith,2025-06-21T03:58:00,2025-06-21T11:53:23.942592,12.0,7.5,Ford Focus
R00104,Jordan Williams,2025-06-10T23:57:00,2025-06-12T16:42:11.563615,41.3,40.4,BMW 3 Series
R00105,PAT DAVIS,2025-03-20T09:03:00,2025-03-29T15:39:52.779380,47.1,221.7,BMW 3 Series
R00106,John Smith,2025-06-10T20:18:00,2025-06-12T15:51:22.232871,68.0,43.2,Nissan Altima
R00107,Pat Brown,2025-04-02T05:55:00,2025-04-03T19:21:31.335771,63.0,37.0,BMW 3 Series
R00108,john davis,2025-06-17T16:17:00,2025-06-19T17:54:02.395777,45.5,49.5,Ford Focus
R00109,Alex Jones,2025-04-25T12:49:00,2025-04-29T10:48:26.192673,71.0,93.1,Tesla Model 3
R00110,Alex Smith,2025-05-14T16:13:00,2025-05-16T13:08:54.350838,33.6,44.3,Nissan Altima
R00111,Jordan Smith,2025-05-14T21:00:00,2025-05-15T07:56:31.213742,11.2,10.8,Nissan Altima
R00112,John Miller,2025-03-31T11:27:00,2025-03-31T15:40:04.730670,6.2,3.4,Ford Focus
R00113,Pat Brown,2025-02-05T15:05:00,2025-02-06T01:45:35.888230,8.0,10.7,Ford Focus
R00114,Sam Jones,2025-03-13T05:13:00,2025-03-13T15:40:10.918302,11.9,10.0,Honda Civic
R00115,CHRIS MILLER,2025-05-09T06:27:00,2025-05-10T04:02:34.943862,39.5,21.2,BMW 3 Series
R00116,Sam Smith,2025-05-15T01:34:00,2025-05-17T05:02:34.452990,70.2,51.1,Audi A4
R00117,Jordan Jones,2025-05-07T19:27:00,2025-05-08T00:54:06.990045,9.0,4.8,Audi A4
R00118,Chris Smith,2025-04-17T00:31:00,2025-04-18T21:08:55.269384,37.7,44.0,Ford Focus
R00119,Sam Miller,2025-05-17T07:43:00,2025-05-20T23:55:39.140670,61.6,87.3,BMW 3 Series
R00120,JANE SMITH,2025-01-08T19:46:00,2025-01-10T22:41:55.664339,37.5,50.8,Toyota Corolla
R00121,Jordan Davis,2025-01-29T21:08:00,2025-01-30T01:05:23.280534,3.4,3.5,Ford Focus
R00122,Jane Williams,2025-03-13T15:45:00,2025-03-22T01:00:57.067087,49.3,200.9,BMW 3 Series
R00123,Taylor Johnson,2025-02-15T01:04:00,2025-02-16T22:31:17.651716,47.3,45.3,Honda Civic
R00124,pat davis,2025-05-31T10:39:00,2025-06-01T04:05:31.446206,17.0,17.1,Audi A4
R00125,John Johnson,2025-03-07T02:57:00,2025-03-08T08:51:39.260538,39.0,29.2,Tesla Model 3
R00126,Jordan Jones,2025-02-14T20:40:00,2025-03-06T13:22:28.269451,33.7,471.8,Ford Focus
R00127,jane brown,2025-06-29T17:56:00,2025-06-30T13:56:50.041931,15.2,19.4,Honda Civic
R00128,Jordan Johnson,2025-01-02T06:42:00,2025-01-02T21:53:31.715093,22.8,14.7,Audi A4
R00129,taylor davis,2025-03-15T15:28:00,,60.7,,Ford Focus
R00130,Jane Miller,2025-05-22T08:09:00,2025-05-23T16:22:49.674474,27.2,31.4,Audi A4
R00131,Pat Davis,2025-03-20T11:46:00,2025-03-23T07:00:10.709306,56.0,67.0,Ford Focus
R00132,JANE WILLIAMS,2025-05-24T15:58:00,2025-05-25T03:24:30.851508,13.7,10.5,Honda Civic
R00133,John Williams,2025-02-22T04:38:00,2025-02-23T21:02:41.696706,28.3,39.5,Ford Focus
R00134,Pat Smith,2025-01-08T04:31:00,2025-01-09T16:39:48.553761,29.1,35.5,Toyota Corolla
R00135,Jordan Williams,2025-02-13T00:41:00,2025-02-14T03:48:58.150943,26.6,26.9,BMW 3 Series
R00136,Chris Miller,2025-04-13T00:09:00,2025-04-13T11:22:10.376106,8.0,10.4,Ford Focus
R00137,Pat Smith,2025-02-07T07:01:00,2025-02-09T06:38:02.672791,52.7,47.5,Honda Civic
R00138,TAYLOR WILLIAMS,2025-01-26T21:57:00,2025-01-27T06:38:59.522112,15.5,8.6,Chevrolet Malibu
R00139,alex johnson,2025-03-18T16:28:00,2025-03-22T11:59:15.013357,24.2,90.8,Toyota Corolla
R00140,Jordan Jones,2025-02-04T22:34:00,2025-02-07T04:51:32.777656,65.1,54.2,BMW 3 Series
R00141,ALEX DAVIS,2025-04-11T19:18:00,2025-04-13T16:54:40.225879,32.1,45.2,Nissan Altima
R00142,john davis,2025-03-15T21:56:00,2025-03-18T11:16:50.147002,44.9,60.5,Toyota Corolla
R00143,Jane Williams,2025-04-21T10:06:00,2025-04-23T08:38:19.658668,42.9,46.0,Toyota Corolla
R00144,sam brown,2025-01-03T21:55:00,2025-01-04T11:07:54.619216,8.7,12.8,Nissan Altima
R00145,Alex Johnson,2025-03-01T16:59:00,2025-03-02T14:16:40.790811,9.5,21.1,Ford Focus
R00146,taylor williams,2025-03-15T21:03:00,2025-03-18T13:43:21.806716,46.0,63.8,Nissan Altima
R00147,Pat Brown,2025-06-12T03:43:00,2025-06-14T09:46:48.167552,9.7,53.1,Honda Civic
R00148,Chris Miller,2025-02-28T00:33:00,2025-02-28T17:25:35.117545,14.8,16.2,BMW 3 Series
R00149,chris johnson,2025-04-17T08:27:00,2025-04-19T03:10:45.215155,70.8,42.6,Honda Civic
R00150,Jane Miller,2025-01-16T07:21:00,2025-01-16T08:44:13.290242,1.1,1.1,Ford Focus
R00151,Jordan Miller,2025-01-30T07:25:00,2025-01-31T11:41:00.460364,25.1,27.6,BMW 3 Series
R00152,Jane Williams,2025-03-08T20:46:00,2025-03-09T05:07:29.739514,9.6,8.2,Audi A4
R00153,CHRIS MILLER,2025-05-11T08:31:00,2025-05-13T02:04:35.747694,60.7,41.0,Honda Civic
R00154,sam miller,2025-03-28T04:47:00,2025-03-29T04:32:03.419861,42.6,23.3,Toyota Corolla
R00155,Jane Jones,2025-01-02T15:26:00,,53.9,,Tesla Model 3
R00156,Jordan Davis,2025-06-22T02:40:00,,64.6,,Ford Focus
R00157,SAM WILLIAMS,2025-06-14T16:54:00,2025-06-18T06:12:47.044205,66.7,85.2,BMW 3 Series
R00158,Jane Smith,2025-03-25T05:43:00,2025-03-25T23:57:58.211882,15.1,17.4,Chevrolet Malibu
R00159,Jane Smith,2025-01-07T20:33:00,2025-01-08T10:43:39.756612,18.0,13.8,Honda Civic
R00160,JANE DAVIS,2025-03-21T19:44:00,2025-03-24T09:39:18.094221,54.8,61.8,Toyota Corolla
R00161,alex davis,2025-06-04T04:39:00,2025-07-23T10:46:47.242516,71.8,1181.7,Chevrolet Malibu
R00162,Jordan Jones,2025-04-09T05:57:00,2025-04-13T22:55:11.499334,25.9,112.8,BMW 3 Series
R00163,Jane Davis,2025-03-04T14:58:00,2025-03-06T21:53:09.470637,71.3,54.8,BMW 3 Series
R00164,PAT JOHNSON,2025-02-13T14:32:00,2025-02-14T15:09:29.824356,39.9,24.2,Ford Focus
R00165,Alex Williams,2025-04-10T23:24:00,2025-04-13T10:39:49.440685,41.9,58.8,Chevrolet Malibu
R00166,Taylor Brown,2025-05-28T02:58:00,2025-05-29T23:18:07.206342,70.9,43.5,Nissan Altima
R00167,TAYLOR WILLIAMS,2025-04-27T19:21:00,2025-04-28T17:39:31.796538,37.1,21.9,Nissan Altima
R00168,JORDAN DAVIS,2025-02-15T11:14:00,2025-02-17T16:44:02.162156,55.6,52.7,Audi A4
R00169,Jane Davis,2025-02-03T15:08:00,2025-02-05T15:36:19.236106,38.1,47.8,Ford Focus
R00170,Alex Williams,2025-01-18T13:10:00,2025-01-18T17:31:34.636592,6.2,4.2,Toyota Corolla
R00171,TAYLOR DAVIS,2025-04-08T18:18:00,,56.0,,Chevrolet Malibu
R00172,Chris Brown,2025-06-28T06:40:00,2025-06-30T08:12:01.803776,35.1,49.3,BMW 3 Series
R00173,jane brown,2025-06-21T00:10:00,2025-06-22T21:22:14.733492,33.2,45.0,Ford Focus
R00174,Chris Miller,2025-01-11T00:06:00,2025-01-12T20:22:59.638862,67.1,43.7,Audi A4
R00175,Pat Johnson,2025-04-28T18:38:00,2025-04-29T16:37:11.623399,35.4,21.8,Toyota Corolla
R00176,jordan davis,2025-02-20T10:48:00,2025-02-23T05:17:25.438381,26.8,65.5,Audi A4
R00177,Taylor Jones,2025-03-23T15:15:00,2025-03-27T18:36:19.107621,66.3,99.2,Nissan Altima
R00178,jordan jones,2025-02-04T20:33:00,2025-02-05T23:54:56.326048,42.3,27.0,Chevrolet Malibu
R00179,alex miller,2025-05-21T12:20:00,2025-05-23T01:50:29.786019,54.7,37.5,Honda Civic
R00180,SAM SMITH,2025-06-06T14:55:00,2025-06-08T05:58:33.554501,36.8,38.1,Tesla Model 3
R00181,Chris Davis,2025-04-30T15:11:00,2025-04-30T20:41:01.838642,2.9,5.3,Nissan Altima
R00182,taylor williams,2025-05-04T15:54:00,2025-05-06T03:49:52.564751,60.9,35.0,Chevrolet Malibu
R00183,John Davis,2025-06-05T15:04:00,2025-06-06T20:06:30.860764,38.9,29.0,Nissan Altima
R00184,Sam Johnson,2025-04-10T21:07:00,2025-04-12T04:31:00.023575,21.5,31.1,Ford Focus
R00185,jane williams,2025-03-14T21:08:00,2025-03-18T00:04:10.090174,55.7,74.2,BMW 3 Series
R00186,Pat Brown,2025-03-22T23:00:00,2025-03-26T08:40:48.089814,67.6,81.3,BMW 3 Series
R00187,John Brown,2025-01-15T09:55:00,2025-01-16T15:32:37.802601,55.4,28.9,BMW 3 Series
R00188,SAM JOHNSON,2025-06-02T00:37:00,2025-06-04T22:20:17.002061,44.5,69.3,Audi A4
R00189,Chris Johnson,2025-04-21T15:58:00,,68.9,,Nissan Altima
R00190,Jane Brown,2025-05-18T04:04:00,2025-05-29T10:40:14.029260,52.9,269.9,Honda Civic
R00191,sam smith,2025-06-26T04:08:00,2025-06-26T09:59:11.310945,6.4,5.1,Honda Civic
R00192,Jordan Davis,2025-01-01T19:34:00,2025-01-04T17:52:57.397372,57.5,70.2,Honda Civic
R00193,taylor brown,2025-01-31T11:05:00,2025-02-01T17:26:39.604730,49.6,30.3,Tesla Model 3
R00194,Taylor Johnson,2025-01-07T07:49:00,2025-01-09T10:15:50.743355,41.3,49.6,Tesla Model 3
R00195,Alex Brown,2025-01-06T11:46:00,2025-01-07T03:12:41.991550,17.8,15.2,Honda Civic
R00196,CHRIS SMITH,2025-02-21T13:06:00,2025-02-22T04:26:44.317193,13.7,14.6,Chevrolet Malibu
R00197,John Johnson,2025-06-15T06:38:00,2025-06-16T07:25:17.252346,24.9,23.9,BMW 3 Series
R00198,john williams,2025-02-05T06:43:00,2025-02-07T17:21:04.855714,43.0,58.6,BMW 3 Series
R00199,Jordan Brown,2025-03-28T06:15:00,2025-03-29T03:43:25.060935,27.7,20.6,Chevrolet Malibu
R00200,JANE BROWN,2025-01-03T00:33:00,2025-01-05T22:18:10.335026,67.2,69.1,Tesla Model 3
R00201,jordan smith,2025-02-13T12:50:00,2025-02-14T09:32:19.027890,25.7,20.2,Audi A4
R00202,JANE MILLER,2025-01-24T05:11:00,2025-01-25T13:59:23.375556,37.1,31.8,Nissan Altima
R00203,Taylor Johnson,2025-03-05T16:24:00,2025-03-08T12:16:53.047228,33.4,67.8,Honda Civic
R00204,alex smith,2025-06-20T05:11:00,2025-06-22T14:58:18.378558,40.1,56.9,Ford Focus
R00205,Taylor Miller,2025-02-03T09:26:00,2025-02-05T10:38:16.319511,69.1,49.2,Honda Civic
R00206,Jordan Smith,2025-06-23T19:15:00,2025-06-25T21:55:35.296111,68.8,50.5,Ford Focus
R00207,CHRIS SMITH,2025-01-19T19:50:00,2025-01-25T07:55:00.430933,26.2,131.2,Chevrolet Malibu
R00208,Chris Davis,2025-01-31T14:31:00,2025-02-03T07:01:32.489822,58.5,64.2,Honda Civic
R00209,Sam Johnson,2025-02-28T15:04:00,2025-02-28T23:54:25.547439,7.6,8.7,Honda Civic
R00210,Pat Jones,2025-01-12T19:05:00,2025-01-14T07:05:11.569936,41.8,35.9,Audi A4
R00211,Pat Miller,2025-04-03T19:25:00,2025-04-07T08:31:07.098486,68.7,84.4,Nissan Altima
R00212,Chris Davis,2025-02-20T17:57:00,2025-02-21T09:10:06.375067,29.2,15.2,BMW 3 Series
R00213,JORDAN MILLER,2025-05-19T20:09:00,2025-05-24T14:11:52.729649,43.8,113.1,Nissan Altima
R00214,jordan smith,2025-05-18T02:32:00,2025-05-19T19:29:55.740738,18.2,40.7,Audi A4
R00215,PAT SMITH,2025-05-24T12:31:00,2025-05-24T20:11:02.451735,9.9,7.2,Toyota Corolla
R00216,JOHN JOHNSON,2025-04-15T12:16:00,2025-04-15T16:00:30.932866,2.8,3.7,BMW 3 Series
R00217,JOHN SMITH,2025-01-26T08:29:00,2025-01-26T16:29:12.791827,5.4,7.8,Toyota Corolla
R00218,Sam Williams,2025-04-18T00:22:00,2025-04-19T07:02:42.456393,34.2,30.3,Tesla Model 3
R00219,taylor miller,2025-05-10T09:08:00,2025-05-11T01:58:53.539920,4.3,16.8,Audi A4
R00220,Taylor Johnson,2025-01-18T08:09:00,2025-01-18T23:00:22.086582,21.3,13.9,Nissan Altima
R00221,John Jones,2025-01-29T13:05:00,2025-01-29T23:15:29.902130,7.8,9.6,Nissan Altima
R00222,JOHN MILLER,2025-05-10T18:17:00,2025-05-11T04:03:54.941090,7.0,9.5,Ford Focus
R00223,PAT SMITH,2025-06-02T11:20:00,2025-06-03T16:48:03.409795,53.1,28.7,Tesla Model 3
R00224,jordan williams,2025-05-01T15:20:00,2025-05-02T00:21:50.418051,11.3,8.6,Nissan Altima
R00225,JOHN WILLIAMS,2025-03-24T06:41:00,2025-03-26T01:22:25.574768,57.8,41.8,Tesla Model 3
R00226,john williams,2025-01-02T11:58:00,2025-01-05T22:30:14.527674,70.6,81.9,Toyota Corolla
R00227,Jane Brown,2025-01-16T15:26:00,2025-01-20T00:15:47.947972,69.3,80.0,Ford Focus
R00228,Pat Smith,2025-05-20T17:10:00,2025-05-21T09:04:09.829248,10.1,14.9,Audi A4
R00229,Jordan Williams,2025-02-18T16:44:00,2025-02-19T12:08:49.827786,33.5,18.5,BMW 3 Series
R00230,jane davis,2025-04-07T15:21:00,2025-04-08T14:42:47.425570,30.4,23.4,Honda Civic
R00231,Taylor Smith,2025-05-17T03:31:00,,22.5,,Tesla Model 3
R00232,sam davis,2025-05-23T10:55:00,2025-05-27T17:29:27.990000,42.1,102.5,BMW 3 Series
R00233,sam jones,2025-06-12T00:43:00,2025-06-12T11:06:32.087061,16.2,9.7,Audi A4
R00234,sam johnson,2025-01-08T12:21:00,,56.9,,Ford Focus
R00235,Sam Smith,2025-01-10T17:26:00,2025-01-10T20:41:49.506822,3.2,2.9,Toyota Corolla
R00236,ALEX MILLER,2025-03-08T05:15:00,2025-03-11T05:15:34.683854,66.6,72.0,Honda Civic
R00237,Pat Brown,2025-06-17T20:22:00,2025-06-19T00:21:52.435131,27.6,27.7,Nissan Altima
R00238,Alex Smith,2025-03-31T15:36:00,2025-04-02T13:50:04.552703,41.8,45.8,Honda Civic
R00239,Taylor Williams,2025-06-29T18:39:00,2025-06-30T03:16:06.955676,6.3,8.4,BMW 3 Series
R00240,TAYLOR DAVIS,2025-05-03T09:50:00,2025-05-04T17:13:26.424638,29.4,31.2,BMW 3 Series
R00241,Pat Miller,2025-06-06T01:24:00,2025-06-09T18:55:31.831401,67.9,88.7,BMW 3 Series
R00242,TAYLOR JONES,2025-03-27T16:30:00,2025-03-28T21:20:46.986530,19.5,27.9,Honda Civic
R00243,taylor brown,2025-03-26T17:49:00,2025-03-27T04:07:37.622797,9.1,9.5,Audi A4
R00244,alex williams,2025-06-26T18:41:00,2025-07-03T22:28:48.077394,52.1,171.0,Tesla Model 3
R00245,Taylor Smith,2025-02-16T23:26:00,2025-02-18T20:19:58.551075,41.1,44.7,Chevrolet Malibu
R00246,Jane Jones,2025-04-25T13:50:00,2025-04-28T09:06:28.909107,71.0,66.4,Chevrolet Malibu
R00247,Pat Miller,2025-01-26T07:51:00,2025-01-26T22:23:45.727434,14.3,14.4,Tesla Model 3
R00248,Chris Jones,2025-05-20T00:22:00,2025-05-21T23:03:00.747830,40.9,46.6,Tesla Model 3
R00249,Sam Brown,2025-01-12T00:51:00,2025-01-13T20:45:09.303769,30.6,43.1,Honda Civic
