rental_id,customer_name,rent_out_timestamp,return_timestamp,rental_duration_hours,actual_duration_hours,vehicle_make_model,non_return,Duration_Difference,hour_of_day,is_weekend,customer_name_clean,anomaly_score,anomaly
R00122,Jane Williams,2025-03-13 15:45:00,2025-03-22 01:00:57.067087,49.3,200.9,BMW 3 Series,False,151.60000000000002,15,False,Jane Williams,3.075050709939149,True
R00126,Jordan Jones,2025-02-14 20:40:00,2025-03-06 13:22:28.269451,33.7,471.8,Ford Focus,False,438.1,20,False,Jordan Jones,13.0,True
R00129,taylor davis,2025-03-15 15:28:00,,60.7,999.0,Ford Focus,True,938.3,15,True,Taylor Davis,25.457990115321252,True
R00147,Pat Brown,2025-06-12 03:43:00,2025-06-14 09:46:48.167552,9.7,53.1,Honda Civic,False,43.400000000000006,3,False,Pat Brown,4.474226804123712,True
R00155,Jane Jones,2025-01-02 15:26:00,,53.9,999.0,Tesla Model 3,True,945.1,15,False,Jane Jones,27.534322820037108,True
R00156,Jordan Davis,2025-06-22 02:40:00,,64.6,999.0,Ford Focus,True,934.4,2,True,Jordan Davis,24.46439628482972,True
R00161,alex davis,2025-06-04 04:39:00,2025-07-23 10:46:47.242516,71.8,1181.7,Chevrolet Malibu,False,1109.9,4,False,Alex Davis,15.458217270194988,True
R00162,Jordan Jones,2025-04-09 05:57:00,2025-04-13 22:55:11.499334,25.9,112.8,BMW 3 Series,False,86.9,5,False,Jordan Jones,3.355212355212356,True
R00171,TAYLOR DAVIS,2025-04-08 18:18:00,,56.0,999.0,Chevrolet Malibu,True,943.0,18,False,Taylor Davis,26.839285714285715,True
R00189,Chris Johnson,2025-04-21 15:58:00,,68.9,999.0,Nissan Altima,True,930.1,15,False,Chris Johnson,23.499274310595062,True
R00190,Jane Brown,2025-05-18 04:04:00,2025-05-29 10:40:14.029260,52.9,269.9,Honda Civic,False,216.99999999999997,4,True,Jane Brown,4.102079395085066,True
R00207,CHRIS SMITH,2025-01-19 19:50:00,2025-01-25 07:55:00.430933,26.2,131.2,Chevrolet Malibu,False,104.99999999999999,19,True,Chris Smith,4.007633587786259,True
R00231,Taylor Smith,2025-05-17 03:31:00,,22.5,999.0,Tesla Model 3,True,976.5,3,True,Taylor Smith,53.4,True
R00234,sam johnson,2025-01-08 12:21:00,,56.9,999.0,Ford Focus,True,942.1,12,False,Sam Johnson,26.557117750439367,True
R00276,JOHN SMITH,2025-03-23 10:49:00,2025-04-02 08:50:07.152507,43.7,237.2,Tesla Model 3,False,193.5,10,True,John Smith,4.4279176201373,True
R00281,Chris Miller,2025-06-03 17:43:00,2025-07-01 20:50:19.694274,60.8,674.6,Chevrolet Malibu,False,613.8000000000001,17,False,Chris Miller,10.095394736842106,True
R00284,John Davis,2025-05-23 04:33:00,2025-05-26 04:46:41.318869,13.0,72.1,Audi A4,False,59.099999999999994,4,False,John Davis,4.546153846153846,True
R00294,John Jones,2025-01-31 22:31:00,,33.0,999.0,Tesla Model 3,True,966.0,22,False,John Jones,39.27272727272727,True
R00318,SAM JOHNSON,2025-03-26 23:59:00,2025-04-08 14:01:04.096000,67.7,302.0,Ford Focus,False,234.3,23,False,Sam Johnson,3.4608567208271785,True
R00325,Jordan Jones,2025-03-17 11:49:00,2025-06-30 15:18:32.502977,70.7,2523.4,Ford Focus,False,2452.7000000000003,11,False,Jordan Jones,34.691654879773694,True
R00326,Sam Brown,2025-04-01 00:13:00,2025-04-02 00:30:40.398445,4.6,24.3,BMW 3 Series,False,19.700000000000003,0,False,Sam Brown,4.282608695652175,True
R00355,sam jones,2025-06-29 01:11:00,,48.8,999.0,Ford Focus,True,950.2,1,True,Sam Jones,29.471311475409838,True
R00358,John Williams,2025-03-10 05:57:00,2025-03-29 15:23:25.135606,19.3,464.7,Audi A4,False,445.4,5,False,John Williams,23.077720207253883,True
R00381,Jane Brown,2025-01-26 00:52:00,,6.8,999.0,Chevrolet Malibu,True,992.2,0,True,Jane Brown,155.91176470588238,True
R00401,Taylor Williams,2025-06-13 14:28:00,2025-06-24 05:06:00.095176,58.4,254.5,Audi A4,False,196.1,14,False,Taylor Williams,3.357876712328767,True
R00405,sam davis,2025-02-21 04:29:00,2025-05-30 07:01:51.930622,71.3,2354.2,Nissan Altima,False,2282.8999999999996,4,False,Sam Davis,32.01823281907433,True
R00416,Jordan Williams,2025-05-07 07:32:00,2025-05-17 13:59:20.840740,54.1,245.9,Chevrolet Malibu,False,191.8,7,False,Jordan Williams,3.545286506469501,True
R00419,PAT JOHNSON,2025-02-24 23:37:00,,5.4,999.0,Audi A4,True,993.6,23,False,Pat Johnson,194.0,True
R00422,JANE WILLIAMS,2025-02-05 22:18:00,2025-02-06 14:56:52.801756,2.8,16.0,Ford Focus,False,13.2,22,False,Jane Williams,4.714285714285714,True
R00442,Jane Williams,2025-05-19 21:10:00,2025-05-27 09:47:51.931539,41.6,180.1,Nissan Altima,False,138.5,21,False,Jane Williams,3.329326923076923,True
R00454,JORDAN MILLER,2025-04-09 00:33:00,2025-04-22 03:25:05.200994,53.8,314.3,Audi A4,False,260.5,0,False,Jordan Miller,4.842007434944239,True
R00455,Sam Brown,2025-03-08 05:24:00,,28.8,999.0,Toyota Corolla,True,970.2,5,True,Sam Brown,43.6875,True
R00458,Taylor Brown,2025-06-04 01:34:00,,36.8,999.0,Audi A4,True,962.2,1,False,Taylor Brown,36.14673913043478,True
R00468,Jane Johnson,2025-06-16 01:01:00,2025-06-22 19:34:23.266711,6.3,162.3,Tesla Model 3,False,156.0,1,False,Jane Johnson,24.761904761904763,True
R00473,Sam Jones,2025-06-14 07:33:00,2025-06-17 18:14:37.344464,19.8,82.7,Ford Focus,False,62.900000000000006,7,True,Sam Jones,3.176767676767677,True
R00476,JANE MILLER,2025-04-04 22:15:00,,43.2,999.0,BMW 3 Series,True,955.8,22,False,Jane Miller,32.125,True
R00493,Taylor Davis,2025-01-15 04:27:00,2025-02-01 19:59:16.614403,11.1,422.6,Toyota Corolla,False,411.5,4,False,Taylor Davis,37.072072072072075,True
